conversion_type,from,to,multiply_by,from_symbol,to_symbol
Area,Acre,Hectare,0.404686,ac,ha
Area,Acre,Square Foot,43560,ac,sq ft
Area,Acre,Square Inch,6273000,ac,sq in
Area,Acre,Square Kilometer,0.00404686,ac,sq km
Area,Acre,Square meter,4046.86,ac,sq m
Area,Acre,Square Mile,0.0015625,ac,sq mi
Area,Acre,Square Yard,4840,ac,sq yd
Area,Hectare,Acre,2.47105,ha,ac
Area,Hectare,Square Foot,107639,ha,sq ft
Area,Hectare,Square Inch,15500000,ha,sq in
Area,Hectare,Square Kilometer,0.01,ha,sq km
Area,Hectare,Square meter,10000,ha,sq m
Area,Hectare,Square Mile,0.00386102,ha,sq mi
Area,Hectare,Square Yard,11959.9,ha,sq yd
Area,Square Foot,Acre,0.000022957,sq ft,ac
Area,Square Foot,Hectare,9.2903E-06,sq ft,ha
Area,Square Foot,Square Inch,144,sq ft,sq in
Area,Square Foot,Square Kilometer,9.2903E-08,sq ft,sq km
Area,Square Foot,Square meter,0.092903,sq ft,sq m
Area,Square Foot,Square Mile,3.587E-08,sq ft,sq mi
Area,Square Foot,Square Yard,0.111111,sq ft,sq yd
Area,Square Inch,Acre,1.5942E-07,sq in,ac
Area,Square Inch,Hectare,6.4516E-08,sq in,ha
Area,Square Inch,Square Foot,0.00694444,sq in,sq ft
Area,Square Inch,Square meter,0.00064516,sq in,sq m
Area,Square Inch,Square Mile,2.491E-10,sq in,sq mi
Area,Square Inch,Square Yard,0.000771605,sq in,sq yd
Area,Square Kilometer,Acre,247.105,sq km,ac
Area,Square Kilometer,Hectare,100,sq km,ha
Area,Square Kilometer,Square Foot,10760000,sq km,sq ft
Area,Square Kilometer,Square Inch,1550000000,sq km,sq in
Area,Square Kilometer,Square meter,1000000,sq km,sq m
Area,Square Kilometer,Square Mile,0.386102,sq km,sq mi
Area,Square Kilometer,Square Yard,1196000,sq km,sq yd
Area,Square meter,Acre,0.000247105,sq m,ac
Area,Square meter,Hectare,0.0001,sq m,sq ha
Area,Square meter,Square Foot,10.7639,sq m,sq ft
Area,Square meter,Square Inch,1550,sq m,sq in
Area,Square meter,Square Kilometer,0.000001,sq m,sq km
Area,Square meter,Square Mile,3.861E-07,sq m,sq mi
Area,Square meter,Square Yard,1.19599,sq m,sq yd
Area,Square Mile,Acre,640,sq mi,ac
Area,Square Mile,Hectare,258.999,sq mi,ha
Area,Square Mile,Square Foot,27880000,sq mi,sq ft
Area,Square Mile,Square Inch,4014000000,sq mi,sq in
Area,Square Mile,Square Kilometer,2.58999,sq mi,sq km
Area,Square Mile,Square meter,2590000,sq mi,sq m
Area,Square Mile,Square Yard,3098000,sq mi,sq yd
Area,Square Yard,Acre,0.000206612,sq yd,ac
Area,Square Yard,Hectare,0.000083613,sq yd,ha
Area,Square Yard,Square Foot,9,sq yd,sq ft
Area,Square Yard,Square Inch,1296,sq yd,sq in
Area,Square Yard,Square Kilometer,8.3613E-07,sq yd,sq km
Area,Square Yard,Square meter,0.836127,sq yd,sq m
Area,Square Yard,Square Mile,3.2283E-07,sq yd,sq mi
Digital Storage,Bit,Byte,0.125,b,B
Digital Storage,Bit,Gibibit,9.3132E-10,b,Gib
Digital Storage,Bit,Gibibyte,1.1642E-10,b,Gib
Digital Storage,Bit,Gigabit,0.000000001,b,Gb
Digital Storage,Bit,Gigabyte,1.25E-10,b,GB
Digital Storage,Bit,Kibibit,0.000976563,b,Kib
Digital Storage,Bit,Kibibyte,0.00012207,b,KiB
Digital Storage,Bit,Kilobit,0.001,b,kb
Digital Storage,Bit,Kilobyte,0.000125,b,kB
Digital Storage,Bit,Mebibit,9.5367E-07,b,Mib
Digital Storage,Bit,Mebibyte,1.1921E-07,b,MiB
Digital Storage,Bit,Megabit,0.000001,b,mb
Digital Storage,Bit,Megabyte,0.000000125,b,MB
Digital Storage,Bit,Pebibit,8.882E-16,b,Pib
Digital Storage,Bit,Pebibyte,1.11E-16,b,PiB
Digital Storage,Bit,Petabit,1E-15,b,Pb
Digital Storage,Bit,Petabyte,1.25E-16,b,PB
Digital Storage,Bit,Tebibit,9.0949E-13,b,Tib
Digital Storage,Bit,Tebibyte,1.1369E-13,b,TiB
Digital Storage,Bit,Terabit,1E-12,b,Tb
Digital Storage,Bit,Terabyte,1.25E-13,b,TB
Digital Storage,Byte,Bit,8,B,b
Digital Storage,Byte,Gibibit,7.4506E-09,B,Gib
Digital Storage,Byte,Gibibyte,9.3132E-10,B,Gib
Digital Storage,Byte,Gigabit,0.000000008,B,Gb
Digital Storage,Byte,Gigabyte,0.000000001,B,GB
Digital Storage,Byte,Kibibit,0.0078125,B,Kib
Digital Storage,Byte,Kibibyte,0.000976563,B,KiB
Digital Storage,Byte,Kilobit,0.008,B,kb
Digital Storage,Byte,Kilobyte,0.001,B,kB
Digital Storage,Byte,Mebibit,7.6294E-06,B,Mib
Digital Storage,Byte,Mebibyte,9.5367E-07,B,MiB
Digital Storage,Byte,Megabit,0.000008,B,mb
Digital Storage,Byte,Megabyte,0.000001,B,MB
Digital Storage,Byte,Pebibit,7.1054E-15,B,Pib
Digital Storage,Byte,Pebibyte,8.882E-16,B,PiB
Digital Storage,Byte,Petabit,8E-15,B,Pb
Digital Storage,Byte,Petabyte,1E-15,B,PB
Digital Storage,Byte,Tebibit,7.276E-12,B,Tib
Digital Storage,Byte,Tebibyte,9.0949E-13,B,TiB
Digital Storage,Byte,Terabit,8E-12,B,Tb
Digital Storage,Byte,Terabyte,1E-12,B,TB
Digital Storage,Gibibit,Bit,1074000000,Gib,b
Digital Storage,Gibibit,Byte,134200000,Gib,B
Digital Storage,Gibibit,Gibibyte,0.125,Gib,Gib
Digital Storage,Gibibit,Gigabit,1.07374,Gib,Gb
Digital Storage,Gibibit,Gigabyte,0.134218,Gib,GB
Digital Storage,Gibibit,Kibibit,1049000,Gib,Kib
Digital Storage,Gibibit,Kibibyte,131072,Gib,KiB
Digital Storage,Gibibit,Kilobit,1074000,Gib,kb
Digital Storage,Gibibit,Kilobyte,134218,Gib,kB
Digital Storage,Gibibit,Mebibit,1024,Gib,Mib
Digital Storage,Gibibit,Mebibyte,128,Gib,MiB
Digital Storage,Gibibit,Megabit,1073.74,Gib,mb
Digital Storage,Gibibit,Megabyte,134.218,Gib,MB
Digital Storage,Gibibit,Pebibit,9.5367E-07,Gib,Pib
Digital Storage,Gibibit,Pebibyte,1.1921E-07,Gib,PiB
Digital Storage,Gibibit,Petabit,1.0737E-06,Gib,Pb
Digital Storage,Gibibit,Petabyte,1.3422E-07,Gib,PB
Digital Storage,Gibibit,Tebibit,0.000976563,Gib,Tib
Digital Storage,Gibibit,Tebibyte,0.00012207,Gib,TiB
Digital Storage,Gibibit,Terabit,0.00107374,Gib,Tb
Digital Storage,Gibibit,Terabyte,0.000134218,Gib,TB
Digital Storage,Gibibyte,Bit,8590000000,GiB,b
Digital Storage,Gibibyte,Byte,1074000000,GiB,B
Digital Storage,Gibibyte,Gibibit,8,GiB,Gib
Digital Storage,Gibibyte,Gigabit,8.58993,GiB,Gb
Digital Storage,Gibibyte,Gigabyte,1.07374,GiB,GB
Digital Storage,Gibibyte,Kibibit,8389000,GiB,Kib
Digital Storage,Gibibyte,Kibibyte,1049000,GiB,KiB
Digital Storage,Gibibyte,Kilobit,8590000,GiB,kb
Digital Storage,Gibibyte,Kilobyte,1074000,GiB,kB
Digital Storage,Gibibyte,Mebibit,8192,GiB,Mib
Digital Storage,Gibibyte,Mebibyte,1024,GiB,MiB
Digital Storage,Gibibyte,Megabit,8589.93,GiB,mb
Digital Storage,Gibibyte,Megabyte,1073.74,GiB,MB
Digital Storage,Gibibyte,Pebibit,7.6294E-06,GiB,Pib
Digital Storage,Gibibyte,Pebibyte,9.5367E-07,GiB,PiB
Digital Storage,Gibibyte,Petabit,8.5899E-06,GiB,Pb
Digital Storage,Gibibyte,Petabyte,1.0737E-06,GiB,PB
Digital Storage,Gibibyte,Tebibit,0.0078125,GiB,Tib
Digital Storage,Gibibyte,Tebibyte,0.000976563,GiB,TiB
Digital Storage,Gibibyte,Terabit,0.00858993,GiB,Tb
Digital Storage,Gibibyte,Terabyte,0.00107374,GiB,TB
Digital Storage,Gigabit,Bit,1000000000,Gb,b
Digital Storage,Gigabit,Byte,125000000,Gb,B
Digital Storage,Gigabit,Gibibit,0.931323,Gb,Gib
Digital Storage,Gigabit,Gibibyte,0.116415,Gb,Gib
Digital Storage,Gigabit,Gigabyte,0.125,Gb,GB
Digital Storage,Gigabit,Kibibit,976563,Gb,Kib
Digital Storage,Gigabit,Kibibyte,122070,Gb,KiB
Digital Storage,Gigabit,Kilobit,1000000,Gb,kb
Digital Storage,Gigabit,Kilobyte,125000,Gb,kB
Digital Storage,Gigabit,Mebibit,953.674,Gb,Mib
Digital Storage,Gigabit,Mebibyte,119.209,Gb,MiB
Digital Storage,Gigabit,Megabit,1000,Gb,mb
Digital Storage,Gigabit,Megabyte,125,Gb,MB
Digital Storage,Gigabit,Pebibit,8.8818E-07,Gb,Pib
Digital Storage,Gigabit,Pebibyte,1.1102E-07,Gb,PiB
Digital Storage,Gigabit,Petabit,0.000001,Gb,Pb
Digital Storage,Gigabit,Petabyte,0.000000125,Gb,PB
Digital Storage,Gigabit,Tebibit,0.000909495,Gb,Tib
Digital Storage,Gigabit,Tebibyte,0.000113687,Gb,TiB
Digital Storage,Gigabit,Terabit,0.001,Gb,Tb
Digital Storage,Gigabit,Terabyte,0.000125,Gb,TB
Digital Storage,Gigabyte,Bit,8000000000,GB,b
Digital Storage,Gigabyte,Byte,1000000000,GB,B
Digital Storage,Gigabyte,Gibibit,7.45058,GB,Gib
Digital Storage,Gigabyte,Gibibyte,0.931323,GB,Gib
Digital Storage,Gigabyte,Gigabit,8,GB,Gb
Digital Storage,Gigabyte,Kibibit,7813000,GB,Kib
Digital Storage,Gigabyte,Kibibyte,976563,GB,KiB
Digital Storage,Gigabyte,Kilobit,8000000,GB,kb
Digital Storage,Gigabyte,Kilobyte,1000000,GB,kB
Digital Storage,Gigabyte,Mebibit,7629.39,GB,Mib
Digital Storage,Gigabyte,Mebibyte,953.674,GB,MiB
Digital Storage,Gigabyte,Megabit,8000,GB,mb
Digital Storage,Gigabyte,Megabyte,1000,GB,MB
Digital Storage,Gigabyte,Pebibit,7.1054E-06,GB,Pib
Digital Storage,Gigabyte,Pebibyte,8.8818E-07,GB,PiB
Digital Storage,Gigabyte,Petabit,0.000008,GB,Pb
Digital Storage,Gigabyte,Petabyte,0.000001,GB,PB
Digital Storage,Gigabyte,Tebibit,0.00727596,GB,Tib
Digital Storage,Gigabyte,Tebibyte,0.000909495,GB,TiB
Digital Storage,Gigabyte,Terabit,0.008,GB,Tb
Digital Storage,Gigabyte,Terabyte,0.001,GB,TB
Digital Storage,Kibibit,Bit,1024,kib,b
Digital Storage,Kibibit,Byte,128,kib,B
Digital Storage,Kibibit,Gibibit,9.5367E-07,kib,Gib
Digital Storage,Kibibit,Gibibyte,1.1921E-07,kib,Gib
Digital Storage,Kibibit,Gigabit,0.000001024,kib,Gb
Digital Storage,Kibibit,Gigabyte,0.000000128,kib,GB
Digital Storage,Kibibit,Kibibyte,0.125,kib,KiB
Digital Storage,Kibibit,Kilobit,1.024,kib,kb
Digital Storage,Kibibit,Kilobyte,0.128,kib,kB
Digital Storage,Kibibit,Mebibit,0.000976563,kib,Mib
Digital Storage,Kibibit,Mebibyte,0.00012207,kib,MiB
Digital Storage,Kibibit,Megabit,0.001024,kib,mb
Digital Storage,Kibibit,Megabyte,0.000128,kib,MB
Digital Storage,Kibibit,Pebibit,9.0949E-13,kib,Pib
Digital Storage,Kibibit,Pebibyte,1.1369E-13,kib,PiB
Digital Storage,Kibibit,Petabit,1.024E-12,kib,Pb
Digital Storage,Kibibit,Petabyte,1.28E-13,kib,PB
Digital Storage,Kibibit,Tebibit,9.3132E-10,kib,Tib
Digital Storage,Kibibit,Tebibyte,1.1642E-10,kib,TiB
Digital Storage,Kibibit,Terabit,1.024E-09,kib,Tb
Digital Storage,Kibibit,Terabyte,1.28E-10,kib,TB
Digital Storage,Kibibyte,Bit,8192,KiB,b
Digital Storage,Kibibyte,Byte,1024,KiB,B
Digital Storage,Kibibyte,Gibibit,7.6294E-06,KiB,Gib
Digital Storage,Kibibyte,Gibibyte,9.5367E-07,KiB,Gib
Digital Storage,Kibibyte,Gigabit,0.000008192,KiB,Gb
Digital Storage,Kibibyte,Gigabyte,0.000001024,KiB,GB
Digital Storage,Kibibyte,Kibibit,8,KiB,Kib
Digital Storage,Kibibyte,Kilobit,8.192,KiB,kb
Digital Storage,Kibibyte,Kilobyte,1.024,KiB,kB
Digital Storage,Kibibyte,Mebibit,0.0078125,KiB,Mib
Digital Storage,Kibibyte,Mebibyte,0.000976563,KiB,MiB
Digital Storage,Kibibyte,Megabit,0.008192,KiB,mb
Digital Storage,Kibibyte,Megabyte,0.001024,KiB,MB
Digital Storage,Kibibyte,Pebibit,7.276E-12,KiB,Pib
Digital Storage,Kibibyte,Pebibyte,9.0949E-13,KiB,PiB
Digital Storage,Kibibyte,Petabit,8.192E-12,KiB,Pb
Digital Storage,Kibibyte,Petabyte,1.024E-12,KiB,PB
Digital Storage,Kibibyte,Tebibit,7.4506E-09,KiB,Tib
Digital Storage,Kibibyte,Tebibyte,9.3132E-10,KiB,TiB
Digital Storage,Kibibyte,Terabit,8.192E-09,KiB,Tb
Digital Storage,Kibibyte,Terabyte,1.024E-09,KiB,TB
Digital Storage,Kilobit,Bit,1000,kb,b
Digital Storage,Kilobit,Byte,125,kb,B
Digital Storage,Kilobit,Gibibit,9.3132E-07,kb,Gib
Digital Storage,Kilobit,Gibibyte,1.1642E-07,kb,Gib
Digital Storage,Kilobit,Gigabit,0.000001,kb,Gb
Digital Storage,Kilobit,Gigabyte,0.000000125,kb,GB
Digital Storage,Kilobit,Kibibit,0.976563,kb,Kib
Digital Storage,Kilobit,Kibibyte,0.12207,kb,KiB
Digital Storage,Kilobit,Kilobyte,0.125,kb,kB
Digital Storage,Kilobit,Mebibit,0.000953674,kb,Mib
Digital Storage,Kilobit,Mebibyte,0.000119209,kb,MiB
Digital Storage,Kilobit,Megabit,0.001,kb,mb
Digital Storage,Kilobit,Megabyte,0.000125,kb,MB
Digital Storage,Kilobit,Pebibit,8.8818E-13,kb,Pib
Digital Storage,Kilobit,Pebibyte,1.1102E-13,kb,PiB
Digital Storage,Kilobit,Petabit,1E-12,kb,Pb
Digital Storage,Kilobit,Petabyte,1.25E-13,kb,PB
Digital Storage,Kilobit,Tebibit,9.0949E-10,kb,Tib
Digital Storage,Kilobit,Tebibyte,1.1369E-10,kb,TiB
Digital Storage,Kilobit,Terabit,0.000000001,kb,Tb
Digital Storage,Kilobit,Terabyte,1.25E-10,kb,TB
Digital Storage,Kilobyte,Bit,8000,kB,b
Digital Storage,Kilobyte,Byte,1000,kB,B
Digital Storage,Kilobyte,Gibibit,7.4506E-06,kB,Gib
Digital Storage,Kilobyte,Gibibyte,9.3132E-07,kB,Gib
Digital Storage,Kilobyte,Gigabit,0.000008,kB,Gb
Digital Storage,Kilobyte,Gigabyte,0.000001,kB,GB
Digital Storage,Kilobyte,Kibibit,7.8125,kB,Kib
Digital Storage,Kilobyte,Kibibyte,0.976563,kB,KiB
Digital Storage,Kilobyte,Kilobit,8,kB,kb
Digital Storage,Kilobyte,Mebibit,0.00762939,kB,Mib
Digital Storage,Kilobyte,Mebibyte,0.000953674,kB,MiB
Digital Storage,Kilobyte,Megabit,0.008,kB,mb
Digital Storage,Kilobyte,Megabyte,0.001,kB,MB
Digital Storage,Kilobyte,Pebibit,7.1054E-12,kB,Pib
Digital Storage,Kilobyte,Pebibyte,8.8818E-13,kB,PiB
Digital Storage,Kilobyte,Petabit,8E-12,kB,Pb
Digital Storage,Kilobyte,Petabyte,1E-12,kB,PB
Digital Storage,Kilobyte,Tebibit,7.276E-09,kB,Tib
Digital Storage,Kilobyte,Tebibyte,9.0949E-10,kB,TiB
Digital Storage,Kilobyte,Terabit,0.000000008,kB,Tb
Digital Storage,Kilobyte,Terabyte,0.000000001,kB,TB
Digital Storage,Mebibit,Bit,1049000,Mib,b
Digital Storage,Mebibit,Byte,131072,Mib,B
Digital Storage,Mebibit,Gibibit,0.000976563,Mib,Gib
Digital Storage,Mebibit,Gibibyte,0.00012207,Mib,Gib
Digital Storage,Mebibit,Gigabit,0.00104858,Mib,Gb
Digital Storage,Mebibit,Gigabyte,0.000131072,Mib,GB
Digital Storage,Mebibit,Kibibit,1024,Mib,Kib
Digital Storage,Mebibit,Kibibyte,128,Mib,KiB
Digital Storage,Mebibit,Kilobit,1048.58,Mib,kb
Digital Storage,Mebibit,Kilobyte,131.072,Mib,kB
Digital Storage,Mebibit,Mebibyte,0.125,Mib,MiB
Digital Storage,Mebibit,Megabit,1.04858,Mib,mb
Digital Storage,Mebibit,Megabyte,0.131072,Mib,MB
Digital Storage,Mebibit,Pebibit,9.3132E-10,Mib,Pib
Digital Storage,Mebibit,Pebibyte,1.1642E-10,Mib,PiB
Digital Storage,Mebibit,Petabit,1.0486E-09,Mib,Pb
Digital Storage,Mebibit,Petabyte,1.3107E-10,Mib,PB
Digital Storage,Mebibit,Tebibit,9.5367E-07,Mib,Tib
Digital Storage,Mebibit,Tebibyte,1.1921E-07,Mib,TiB
Digital Storage,Mebibit,Terabit,1.0486E-06,Mib,Tb
Digital Storage,Mebibit,Terabyte,1.3107E-07,Mib,TB
Digital Storage,Mebibyte,Bit,8389000,MiB,b
Digital Storage,Mebibyte,Byte,1049000,MiB,B
Digital Storage,Mebibyte,Gibibit,0.0078125,MiB,Gib
Digital Storage,Mebibyte,Gibibyte,0.000976563,MiB,Gib
Digital Storage,Mebibyte,Gigabit,0.00838861,MiB,Gb
Digital Storage,Mebibyte,Gigabyte,0.00104858,MiB,GB
Digital Storage,Mebibyte,Kibibit,8192,MiB,Kib
Digital Storage,Mebibyte,Kibibyte,1024,MiB,KiB
Digital Storage,Mebibyte,Kilobit,8388.61,MiB,kb
Digital Storage,Mebibyte,Kilobyte,1048.58,MiB,kB
Digital Storage,Mebibyte,Mebibit,8,MiB,Mib
Digital Storage,Mebibyte,Megabit,8.38861,MiB,mb
Digital Storage,Mebibyte,Megabyte,1.04858,MiB,MB
Digital Storage,Mebibyte,Pebibit,7.4506E-09,MiB,Pib
Digital Storage,Mebibyte,Pebibyte,9.3132E-10,MiB,PiB
Digital Storage,Mebibyte,Petabit,8.3886E-09,MiB,Pb
Digital Storage,Mebibyte,Petabyte,1.0486E-09,MiB,PB
Digital Storage,Mebibyte,Tebibit,7.6294E-06,MiB,Tib
Digital Storage,Mebibyte,Tebibyte,9.5367E-07,MiB,TiB
Digital Storage,Mebibyte,Terabit,8.3886E-06,MiB,Tb
Digital Storage,Mebibyte,Terabyte,1.0486E-06,MiB,TB
Digital Storage,Megabit,Bit,1000000,Mb,b
Digital Storage,Megabit,Byte,125000,Mb,B
Digital Storage,Megabit,Gibibit,0.000931323,Mb,Gib
Digital Storage,Megabit,Gibibyte,0.000116415,Mb,Gib
Digital Storage,Megabit,Gigabit,0.001,Mb,Gb
Digital Storage,Megabit,Gigabyte,0.000125,Mb,GB
Digital Storage,Megabit,Kibibit,976.563,Mb,Kib
Digital Storage,Megabit,Kibibyte,122.07,Mb,KiB
Digital Storage,Megabit,Kilobit,1000,Mb,kb
Digital Storage,Megabit,Kilobyte,125,Mb,kB
Digital Storage,Megabit,Mebibit,0.953674,Mb,Mib
Digital Storage,Megabit,Mebibyte,0.119209,Mb,MiB
Digital Storage,Megabit,Megabyte,0.125,Mb,MB
Digital Storage,Megabit,Pebibit,8.8818E-10,Mb,Pib
Digital Storage,Megabit,Pebibyte,1.1102E-10,Mb,PiB
Digital Storage,Megabit,Petabit,0.000000001,Mb,Pb
Digital Storage,Megabit,Petabyte,1.25E-10,Mb,PB
